Economic growth,Corporate profits,Investor sentiment,Stock prices,Interest rates
0.6899744811276125,0.9890130573694068,0.6899744811276125,0.5,0.5
0.6659612499275508,0.9929318642624456,0.6659612499275508,0.5,0.5
0.6605982264639682,0.9930680588720238,0.6605982264639682,0.5,0.5
0.6593947589223295,0.9930727450414777,0.6593947589223295,0.5,0.5
0.6591244163364575,0.9930729062266956,0.6591244163364575,0.5,0.5
0.6590636733083485,0.993072911770747,0.6590636733083485,0.5,0.5
0.6590500242941201,0.9930729119614374,0.6590500242941201,0.5,0.5
0.6590469573117926,0.9930729119679963,0.6590469573117926,0.5,0.5
0.659046268148059,0.993072911968222,0.659046268148059,0.5,0.5
0.6590461132899984,0.9930729119682297,0.6590461132899984,0.5,0.5
0.6590460784927201,0.9930729119682299,0.6590460784927201,0.5,0.5
