"","iterations","node1","node2","node3","node4","node5"
"1",1,0.8,0.9,0.8,0.8,0.1
"2",2,0.636452540281566,0.900249510880315,0.933391964424909,0.89659954854175,0.167981614866076
"3",3,0.503645121649391,0.844723915818265,0.959862003438776,0.95135103027504,0.209478202740228
"4",4,0.389300284485033,0.73950395363051,0.956079257438997,0.96362997853696,0.23828823891861
"5",5,0.297018180425576,0.561054484287535,0.936227190919804,0.964905086596518,0.259831014328278
"6",6,0.232152322997682,0.315459091445239,0.877041229917144,0.96287193830592,0.276742880301402
"7",7,0.193316586766436,0.122354110148981,0.699268647267419,0.955127499335084,0.290485251319398
"8",8,0.173365973640765,0.0538569892526653,0.362980624663207,0.921156833923869,0.301943739553428
"9",9,0.164732907900646,0.0392364545536646,0.103940114129565,0.776635356452239,0.311691109584127
"10",10,0.162143840460869,0.0364042483259046,0.0375796616432005,0.459873924931256,0.320116697240335
